Route,Departure,Arrival,Carrier,Code
ADZ-PTY,ADZ,PTY,CM,
ADZ-PTY,ADZ,PTY,UA,C
AMS-PTY,AMS,PTY,AF,C
AMS-PTY,AMS,PTY,CM,C
AMS-PTY,AMS,PTY,KL,
ASU-PTY,ASU,PTY,CM,
ASU-PTY,ASU,PTY,TK,C
ASU-PTY,ASU,PTY,UA,C
ATL-PTY,ATL,PTY,AF,C
ATL-PTY,ATL,PTY,CM,
ATL-PTY,ATL,PTY,DL,
ATL-PTY,ATL,PTY,KE,C
ATL-PTY,ATL,PTY,KL,C
AUA-PTY,AUA,PTY,CM,
AUS-PTY,AUS,PTY,CM,
AXM-PTY,AXM,PTY,CM,
BAQ-PTY,BAQ,PTY,CM,
BAQ-PTY,BAQ,PTY,KL,C
BAQ-PTY,BAQ,PTY,UA,C
BGA-PTY,BGA,PTY,CM,
BGA-PTY,BGA,PTY,KL,C
BGA-PTY,BGA,PTY,UA,C
BGI-PTY,BGI,PTY,CM,
BLA-PTY,BLA,PTY,CM,
BOG-PTY,BOG,PTY,AV,
BOG-PTY,BOG,PTY,AV,W
BOG-PTY,BOG,PTY,CM,
BOG-PTY,BOG,PTY,CM,C
BOG-PTY,BOG,PTY,P5,W
BOG-PTY,BOG,PTY,TK,
BOG-PTY,BOG,PTY,TK,C
BOS-PTY,BOS,PTY,CM,
BOS-PTY,BOS,PTY,UA,C
BRM-PTY,BRM,PTY,WW,
BSB-PTY,BSB,PTY,AD,C
BSB-PTY,BSB,PTY,CM,
BSB-PTY,BSB,PTY,G3,C
BWI-PTY,BWI,PTY,CM,
BWI-PTY,BWI,PTY,UA,C
BZE-PTY,BZE,PTY,CM,
CCS-PTY,CCS,PTY,CM,
CCS-PTY,CCS,PTY,ES,
CCS-PTY,CCS,PTY,QL,
CCS-PTY,CCS,PTY,WW,
CDG-PTY,CDG,PTY,AF,
CDG-PTY,CDG,PTY,KL,C
CIX-PTY,CIX,PTY,CM,
CIX-PTY,CIX,PTY,UA,C
CLO-PTY,CLO,PTY,CM,
CLO-PTY,CLO,PTY,KL,C
CLO-PTY,CLO,PTY,UA,C
CNF-PTY,CNF,PTY,AD,C
CNF-PTY,CNF,PTY,CM,
CNF-PTY,CNF,PTY,G3,C
COR-PTY,COR,PTY,CM,
CTG-PTY,CTG,PTY,CM,
CTG-PTY,CTG,PTY,KL,C
CTG-PTY,CTG,PTY,TK,C
CTG-PTY,CTG,PTY,UA,C
CUC-PTY,CUC,PTY,CM,
CUN-PTY,CUN,PTY,CM,
CUR-PTY,CUR,PTY,CM,
CUR-PTY,CUR,PTY,UA,C
DAV-PTY,DAV,PTY,CM,
DAV-PTY,DAV,PTY,UA,C
DEN-PTY,DEN,PTY,CM,
DEN-PTY,DEN,PTY,UA,C
EWR-PTY,EWR,PTY,CM,C
EWR-PTY,EWR,PTY,UA,
EZE-PTY,EZE,PTY,CM,
EZE-PTY,EZE,PTY,TK,C
FLL-PTY,FLL,PTY,CM,
FLL-PTY,FLL,PTY,UA,C
GCM-PTY,GCM,PTY,KX,
GDL-PTY,GDL,PTY,CM,
GEO-PTY,GEO,PTY,AF,C
GEO-PTY,GEO,PTY,CM,
GEO-PTY,GEO,PTY,KL,C
GEO-PTY,GEO,PTY,UA,C
GIG-PTY,GIG,PTY,AD,C
GIG-PTY,GIG,PTY,CM,
GIG-PTY,GIG,PTY,EK,C
GIG-PTY,GIG,PTY,G3,C
GRU-PTY,GRU,PTY,AD,C
GRU-PTY,GRU,PTY,CM,
GRU-PTY,GRU,PTY,EK,C
GRU-PTY,GRU,PTY,G3,C
GRU-PTY,GRU,PTY,TK,C
GUA-PTY,GUA,PTY,AF,C
GUA-PTY,GUA,PTY,CM,
GUA-PTY,GUA,PTY,IB,C
GUA-PTY,GUA,PTY,KL,C
GUA-PTY,GUA,PTY,TK,C
GUA-PTY,GUA,PTY,UX,C
GYE-PTY,GYE,PTY,AF,C
GYE-PTY,GYE,PTY,CM,
GYE-PTY,GYE,PTY,KL,C
GYE-PTY,GYE,PTY,TK,C
GYE-PTY,GYE,PTY,UA,C
HAV-PTY,HAV,PTY,CM,
IAD-PTY,IAD,PTY,CM,
IAD-PTY,IAD,PTY,UA,C
IAH-PTY,IAH,PTY,CM,C
IAH-PTY,IAH,PTY,UA,
IST-PTY,IST,PTY,CM,C
IST-PTY,IST,PTY,TK,
JFK-PTY,JFK,PTY,BR,C
JFK-PTY,JFK,PTY,CM,
JFK-PTY,JFK,PTY,OZ,C
JFK-PTY,JFK,PTY,UA,C
KIN-PTY,KIN,PTY,CM,
KIN-PTY,KIN,PTY,KL,C
KIN-PTY,KIN,PTY,UA,C
LAS-PTY,LAS,PTY,CM,
LAS-PTY,LAS,PTY,UA,C
LAX-PTY,LAX,PTY,BR,C
LAX-PTY,LAX,PTY,CM,
LAX-PTY,LAX,PTY,OZ,C
LAX-PTY,LAX,PTY,UA,C
LIM-PTY,LIM,PTY,AF,C
LIM-PTY,LIM,PTY,CM,
LIM-PTY,LIM,PTY,KL,C
LIM-PTY,LIM,PTY,TK,C
MAD-PTY,MAD,PTY,BA,C
MAD-PTY,MAD,PTY,CM,C
MAD-PTY,MAD,PTY,IB,
MAD-PTY,MAD,PTY,LY,C
MAD-PTY,MAD,PTY,QR,C
MAD-PTY,MAD,PTY,UX,
MAO-PTY,MAO,PTY,AD,C
MAO-PTY,MAO,PTY,CM,
MAO-PTY,MAO,PTY,G3,C
MAO-PTY,MAO,PTY,UA,C
MAR-PTY,MAR,PTY,CM,
MAR-PTY,MAR,PTY,WW,
MBJ-PTY,MBJ,PTY,CM,
MBJ-PTY,MBJ,PTY,KL,C
MCO-PTY,MCO,PTY,CM,
MCO-PTY,MCO,PTY,UA,C
MDE-PTY,MDE,PTY,CM,
MDE-PTY,MDE,PTY,KL,C
MDE-PTY,MDE,PTY,P5,W
MDE-PTY,MDE,PTY,UA,C
MDZ-PTY,MDZ,PTY,CM,
MEC-PTY,MEC,PTY,CM,
MEX-PTY,MEX,PTY,CM,
MEX-PTY,MEX,PTY,EK,C
MGA-PTY,MGA,PTY,AF,C
MGA-PTY,MGA,PTY,CM,
MGA-PTY,MGA,PTY,IB,C
MGA-PTY,MGA,PTY,KL,C
MGA-PTY,MGA,PTY,TK,C
MGA-PTY,MGA,PTY,UX,C
MIA-PTY,MIA,PTY,AA,
MIA-PTY,MIA,PTY,CM,
MIA-PTY,MIA,PTY,IB,C
MIA-PTY,MIA,PTY,UA,C
MTY-PTY,MTY,PTY,CM,
MVD-PTY,MVD,PTY,CM,
MVD-PTY,MVD,PTY,TK,C
MVD-PTY,MVD,PTY,UA,C
NAS-PTY,NAS,PTY,CM,
NLU-PTY,NLU,PTY,CM,
ORD-PTY,ORD,PTY,BR,C
ORD-PTY,ORD,PTY,CM,
ORD-PTY,ORD,PTY,UA,C
PAP-PTY,PAP,PTY,S6,
PBM-PTY,PBM,PTY,CM,
PEI-PTY,PEI,PTY,CM,
PEI-PTY,PEI,PTY,KL,C
PEI-PTY,PEI,PTY,UA,C
POA-PTY,POA,PTY,AD,C
POA-PTY,POA,PTY,CM,
POA-PTY,POA,PTY,G3,C
POS-PTY,POS,PTY,AF,C
POS-PTY,POS,PTY,AV,C
POS-PTY,POS,PTY,CM,
POS-PTY,POS,PTY,KL,C
PTY-ADZ,PTY,ADZ,CM,
PTY-ADZ,PTY,ADZ,UA,C
PTY-AMS,PTY,AMS,AF,C
PTY-AMS,PTY,AMS,CM,C
PTY-AMS,PTY,AMS,KL,
PTY-ASU,PTY,ASU,CM,
PTY-ASU,PTY,ASU,TK,C
PTY-ASU,PTY,ASU,UA,C
PTY-ATL,PTY,ATL,AF,C
PTY-ATL,PTY,ATL,CM,
PTY-ATL,PTY,ATL,DL,
PTY-ATL,PTY,ATL,KE,C
PTY-ATL,PTY,ATL,KL,C
PTY-ATL,PTY,ATL,UA,C
PTY-AUA,PTY,AUA,CM,
PTY-AUS,PTY,AUS,CM,
PTY-AXM,PTY,AXM,CM,
PTY-BAQ,PTY,BAQ,CM,
PTY-BAQ,PTY,BAQ,KL,C
PTY-BAQ,PTY,BAQ,UA,C
PTY-BGA,PTY,BGA,CM,
PTY-BGA,PTY,BGA,KL,C
PTY-BGA,PTY,BGA,UA,C
PTY-BGI,PTY,BGI,CM,
PTY-BLA,PTY,BLA,CM,
PTY-BOG,PTY,BOG,AV,
PTY-BOG,PTY,BOG,AV,W
PTY-BOG,PTY,BOG,CM,
PTY-BOG,PTY,BOG,P5,W
PTY-BOG,PTY,BOG,TK,C
PTY-BOS,PTY,BOS,CM,
PTY-BOS,PTY,BOS,UA,C
PTY-BRM,PTY,BRM,WW,
PTY-BSB,PTY,BSB,AD,C
PTY-BSB,PTY,BSB,CM,
PTY-BSB,PTY,BSB,G3,C
PTY-BWI,PTY,BWI,CM,
PTY-BWI,PTY,BWI,UA,C
