Name,Carrier,Route,Departure,Arrival,Code
Copa Airlines,CM,ADZ-PTY,ADZ,PTY,
United Airlines,UA,ADZ-PTY,ADZ,PTY,C
Air France,AF,AMS-PTY,AMS,PTY,C
Copa Airlines,CM,AMS-PTY,AMS,PTY,C
KLM,KL,AMS-PTY,AMS,PTY,
Copa Airlines,CM,ASU-PTY,ASU,PTY,
Turkish Airlines,TK,ASU-PTY,ASU,PTY,C
United Airlines,UA,ASU-PTY,ASU,PTY,C
Air France,AF,ATL-PTY,ATL,PTY,C
Copa Airlines,CM,ATL-PTY,ATL,PTY,
Delta,DL,ATL-PTY,ATL,PTY,
Korean Air,KE,ATL-PTY,ATL,PTY,C
KLM,KL,ATL-PTY,ATL,PTY,C
Copa Airlines,CM,AUA-PTY,AUA,PTY,
Copa Airlines,CM,AUS-PTY,AUS,PTY,
Copa Airlines,CM,AXM-PTY,AXM,PTY,
Copa Airlines,CM,BAQ-PTY,BAQ,PTY,
KLM,KL,BAQ-PTY,BAQ,PTY,C
United Airlines,UA,BAQ-PTY,BAQ,PTY,C
Copa Airlines,CM,BGA-PTY,BGA,PTY,
KLM,KL,BGA-PTY,BGA,PTY,C
United Airlines,UA,BGA-PTY,BGA,PTY,C
Copa Airlines,CM,BGI-PTY,BGI,PTY,
Copa Airlines,CM,BLA-PTY,BLA,PTY,
Avianca,AV,BOG-PTY,BOG,PTY,
Avianca,AV,BOG-PTY,BOG,PTY,W
Copa Airlines,CM,BOG-PTY,BOG,PTY,
Copa Airlines,CM,BOG-PTY,BOG,PTY,C
Wingo,P5,BOG-PTY,BOG,PTY,W
Turkish Airlines,TK,BOG-PTY,BOG,PTY,
Turkish Airlines,TK,BOG-PTY,BOG,PTY,C
Copa Airlines,CM,BOS-PTY,BOS,PTY,
United Airlines,UA,BOS-PTY,BOS,PTY,C
Venezolana,WW,BRM-PTY,BRM,PTY,
Azul,AD,BSB-PTY,BSB,PTY,C
Copa Airlines,CM,BSB-PTY,BSB,PTY,
GOL Linhas Aéreas,G3,BSB-PTY,BSB,PTY,C
Copa Airlines,CM,BWI-PTY,BWI,PTY,
United Airlines,UA,BWI-PTY,BWI,PTY,C
Copa Airlines,CM,BZE-PTY,BZE,PTY,
Copa Airlines,CM,CCS-PTY,CCS,PTY,
Estelar Latinoamerica,ES,CCS-PTY,CCS,PTY,
LASER Airlines,QL,CCS-PTY,CCS,PTY,
Venezolana,WW,CCS-PTY,CCS,PTY,
Air France,AF,CDG-PTY,CDG,PTY,
KLM,KL,CDG-PTY,CDG,PTY,C
Copa Airlines,CM,CIX-PTY,CIX,PTY,
United Airlines,UA,CIX-PTY,CIX,PTY,C
Copa Airlines,CM,CLO-PTY,CLO,PTY,
KLM,KL,CLO-PTY,CLO,PTY,C
United Airlines,UA,CLO-PTY,CLO,PTY,C
Azul,AD,CNF-PTY,CNF,PTY,C
Copa Airlines,CM,CNF-PTY,CNF,PTY,
GOL Linhas Aéreas,G3,CNF-PTY,CNF,PTY,C
Copa Airlines,CM,COR-PTY,COR,PTY,
Copa Airlines,CM,CTG-PTY,CTG,PTY,
KLM,KL,CTG-PTY,CTG,PTY,C
Turkish Airlines,TK,CTG-PTY,CTG,PTY,C
United Airlines,UA,CTG-PTY,CTG,PTY,C
Copa Airlines,CM,CUC-PTY,CUC,PTY,
Copa Airlines,CM,CUN-PTY,CUN,PTY,
Copa Airlines,CM,CUR-PTY,CUR,PTY,
United Airlines,UA,CUR-PTY,CUR,PTY,C
Copa Airlines,CM,DAV-PTY,DAV,PTY,
United Airlines,UA,DAV-PTY,DAV,PTY,C
Copa Airlines,CM,DEN-PTY,DEN,PTY,
United Airlines,UA,DEN-PTY,DEN,PTY,C
Copa Airlines,CM,EWR-PTY,EWR,PTY,C
United Airlines,UA,EWR-PTY,EWR,PTY,
Copa Airlines,CM,EZE-PTY,EZE,PTY,
Turkish Airlines,TK,EZE-PTY,EZE,PTY,C
Copa Airlines,CM,FLL-PTY,FLL,PTY,
United Airlines,UA,FLL-PTY,FLL,PTY,C
Cayman Airways,KX,GCM-PTY,GCM,PTY,
Copa Airlines,CM,GDL-PTY,GDL,PTY,
Air France,AF,GEO-PTY,GEO,PTY,C
Copa Airlines,CM,GEO-PTY,GEO,PTY,
KLM,KL,GEO-PTY,GEO,PTY,C
United Airlines,UA,GEO-PTY,GEO,PTY,C
Azul,AD,GIG-PTY,GIG,PTY,C
Copa Airlines,CM,GIG-PTY,GIG,PTY,
Emirates,EK,GIG-PTY,GIG,PTY,C
GOL Linhas Aéreas,G3,GIG-PTY,GIG,PTY,C
Azul,AD,GRU-PTY,GRU,PTY,C
Copa Airlines,CM,GRU-PTY,GRU,PTY,
Emirates,EK,GRU-PTY,GRU,PTY,C
GOL Linhas Aéreas,G3,GRU-PTY,GRU,PTY,C
Turkish Airlines,TK,GRU-PTY,GRU,PTY,C
Air France,AF,GUA-PTY,GUA,PTY,C
Copa Airlines,CM,GUA-PTY,GUA,PTY,
Iberia,IB,GUA-PTY,GUA,PTY,C
KLM,KL,GUA-PTY,GUA,PTY,C
Turkish Airlines,TK,GUA-PTY,GUA,PTY,C
Air Europa,UX,GUA-PTY,GUA,PTY,C
Air France,AF,GYE-PTY,GYE,PTY,C
Copa Airlines,CM,GYE-PTY,GYE,PTY,
KLM,KL,GYE-PTY,GYE,PTY,C
Turkish Airlines,TK,GYE-PTY,GYE,PTY,C
United Airlines,UA,GYE-PTY,GYE,PTY,C
Copa Airlines,CM,HAV-PTY,HAV,PTY,
Copa Airlines,CM,IAD-PTY,IAD,PTY,
United Airlines,UA,IAD-PTY,IAD,PTY,C
